s33,s34,s35,   ,   ,   ,   
   ,s05,s36,s29,   ,   ,   
   ,s06,s09,s30,s31,   ,   
s07,s08,s10,s32,s25,s26,   
s13,s14,s11,s12,s01,s27,s28
s15,s16,s17,s02,s03,s04,   
   ,s18,s19,s21,s22,s23,   
   ,s20,   ,   ,s24,   ,   
