  ,  ,  ,  ,  ,  ,62,59,  ,  ,  ,  
  ,  ,  ,14,76,80,60,02,08,  ,  ,  
  ,  ,50,61,27,78,95,77,51,55,54,57
29,22,35,53,72,92,75,93,10,52,88,67
  ,56,44,49,28,91,94,89,21,70,90,68
  ,  ,85,79,37,41,45,58,71,39,25,  
  ,  ,  ,86,36,18,03,42,69,01,74,  
  ,  ,17,16,87,23,63,43,38,73,  ,  
  ,  ,33,24,46,19,15,07,26,05,  ,
  ,  ,40,47,82,12,48,30,84,04,06,  
  ,  ,64,32,31,81,11,34,13,83,  ,  
  ,  ,  ,  ,65,09,66,  ,  ,  ,  ,2A
  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2B
