Nombre,Partido,Dpto.,Tipo
Juan José Jauregui Ururi,MAS IPSP (Movimiento Al Socialismo),Oruro,titular
Lily Bernabé Colque,MAS IPSP (Movimiento Al Socialismo),Oruro,titular
Ronald Huanca López,CC (Comunidad Ciudadana) ,Oruro,titular
Mariel Carola Peñaloza Lema,CC (Comunidad Ciudadana) ,Oruro,titular
Enrique Fernando Urquidi Daza,CC (Comunidad Ciudadana) ,Oruro,titular
Mayra Ingrid Zalles Trigo,CC (Comunidad Ciudadana) ,Cochabamba,titular
Toribia Lero Quispe,CC (Comunidad Ciudadana) ,Cochabamba,titular
Rosario García Onofre,MAS IPSP (Movimiento Al Socialismo),Cochabamba,titular
José Maldonado Gemio,CC (Comunidad Ciudadana) ,Cochabamba,titular
Dora Lizeth Morales Ríos,MAS IPSP (Movimiento Al Socialismo),Cochabamba,titular
Pascual Pacífico Choque Gallego,MAS IPSP (Movimiento Al Socialismo),Cochabamba,titular
María Cristina Choque Gutiérrez,MAS IPSP (Movimiento Al Socialismo),Cochabamba,titular
Héctor Arce Rodríguez,MAS IPSP (Movimiento Al Socialismo),Cochabamba,titular
Gualberto Arispe Maita,MAS IPSP (Movimiento Al Socialismo),Cochabamba,titular
Olivia Guachalla Yupanqui,MAS IPSP (Movimiento Al Socialismo),Cochabamba,titular
Santos Mamani Espinoza,MAS IPSP (Movimiento Al Socialismo),Cochabamba,titular
Gildo Leodán Hinojosa Soria,MAS IPSP (Movimiento Al Socialismo),Cochabamba,titular
Jhonny Pardo Ramírez,MAS IPSP (Movimiento Al Socialismo),Cochabamba,titular
Felicia Alejo Hidalgo,MAS IPSP (Movimiento Al Socialismo),Cochabamba,titular
José Luis Flores Colquillo,MAS IPSP (Movimiento Al Socialismo),Cochabamba,titular
Magaly Lourdes Gómez Aranibar,MAS IPSP (Movimiento Al Socialismo),Cochabamba,titular
Alejandra Camargo Tanabe,CC (Comunidad Ciudadana) ,Cochabamba,titular
Samantha Andrea Kersim Nogales Arispe,CC (Comunidad Ciudadana) ,Cochabamba,titular
Saúl Octavio Lara Torrico,CC (Comunidad Ciudadana) ,Cochabamba,titular
Omar Al Yabhat Yujra Santos,MAS IPSP (Movimiento Al Socialismo),La Paz,titular
Freddy Mamani Laura,MAS IPSP (Movimiento Al Socialismo),La Paz,titular
Gustavo Adolfo Aliaga Palma,CC (Comunidad Ciudadana) ,La Paz,titular
Hernán Isaías Durán Lazo,MAS IPSP (Movimiento Al Socialismo),La Paz,titular
Walter Villagra Romay,CC (Comunidad Ciudadana) ,La Paz,titular
Ingvar Ellefsen Dotzauer,CC (Comunidad Ciudadana) ,La Paz,titular
Verónica Challco Tapia,MAS IPSP (Movimiento Al Socialismo),La Paz,titular
Pasceza Francisca Quispe Mamani,MAS IPSP (Movimiento Al Socialismo),La Paz,titular
Basilia Rojas Mamani,MAS IPSP (Movimiento Al Socialismo),La Paz,titular
Gladys Quispe Chura,MAS IPSP (Movimiento Al Socialismo),La Paz,titular
Andrés Flores Condori,MAS IPSP (Movimiento Al Socialismo),La Paz,titular
Zulay Mamani Apaza,MAS IPSP (Movimiento Al Socialismo),La Paz,titular
Felix Mayta Larico,MAS IPSP (Movimiento Al Socialismo),La Paz,titular
Sabina Hilda Condori Calle,MAS IPSP (Movimiento Al Socialismo),La Paz,titular
Ignacio Renán Cabezas Veizan,MAS IPSP (Movimiento Al Socialismo),La Paz,titular
María Alanoca Tinta,MAS IPSP (Movimiento Al Socialismo),La Paz,titular
Ramiro Venegas Calderón,MAS IPSP (Movimiento Al Socialismo),La Paz,titular
Miguel Antonio Roca Sánchez,CC (Comunidad Ciudadana) ,La Paz,titular
Alberto Vladimir Astorga Torrez,CC (Comunidad Ciudadana) ,La Paz,titular
Griselda Soledad Pérez Alberto,MAS IPSP (Movimiento Al Socialismo),La Paz,titular
Freddy Velásquez Aparicio,MAS IPSP (Movimiento Al Socialismo),La Paz,titular
Gloria Magdalena Callizaya Rodríguez,MAS IPSP (Movimiento Al Socialismo),La Paz,titular
Froilán Mamani Choque,MAS IPSP (Movimiento Al Socialismo),La Paz,titular
Betty Beatriz Yañiquez Lozano,MAS IPSP (Movimiento Al Socialismo),La Paz,titular
Freddy López Choque,MAS IPSP (Movimiento Al Socialismo),La Paz,titular
Bertha Beatriz Acarapi,MAS IPSP (Movimiento Al Socialismo),La Paz,titular
Gabriela Verónica Ferrel Parrado,CC (Comunidad Ciudadana) ,La Paz,titular
María Elena Pachacute Ticona,CC (Comunidad Ciudadana) ,La Paz,titular
Carlos Silvestre Alarcón Mondonio,CC (Comunidad Ciudadana) ,La Paz,titular
