   ,u01,e01,p01,p02,u02,   ,   ,   ,   ,   ,   ,   ,
   ,   ,e06,p48,u50,u03,   ,   ,   ,   ,   ,   ,   ,
   ,   ,p49,p59,p51,e02,p03,u04,   ,   ,   ,   ,   ,
   ,   ,p52,p53,p54,p04,u05,p05,u07,   ,   ,   ,   ,
   ,p55,u51,p54,p55,e05,u06,u41,u08,e03,p06,   ,   ,
   ,u53,u54,u55,u56,u42,p39,p40,p07,u09,p08,   ,   ,
p61,u57,u58,u59,p56,p41,u43,u44,u10,u11,u12,p09,u46,
p57,p58,u60,u61,u62,p42,u45,p43,p44,p10,u13,u14,u15,
u63,p59,p60,u37,p34,p45,u46,u47,p11,p12,u17,u18,u19,p13
   ,u38,p35,u39,p36,p46,u48,p47,u49,p14,p15,p16,p17,p14
   ,p37,u40,p38,u30,u21,u22,u23,u24,p18,   ,   ,   ,
   ,p28,p29,u31,p30,u25,p19,p20,p21,p22,p23,   ,   ,
   ,p31,u32,u33,u34,e04,u26,p24,p25,u27,   ,   ,   ,
   ,   ,p32,p33,u35,p26,u28,p27,   ,   ,   ,   ,   ,
   ,   ,u36,   ,   ,   ,u29,   ,   ,   ,   ,   ,   ,

