  ,  ,  ,62,63,60,  ,  ,  ,  ,  
  ,  ,  ,15,59,58,61,  ,  ,  ,  
  ,14,19,06,27,24,57,52,53,  ,  
  ,10,07,08,16,20,25,56,46,  ,  
13,11,12,09,28,23,21,44,45,47,  
  ,18,17,31,38,22,26,51,48,49,54
  ,32,29,30,39,03,02,01,50,  ,  
  ,  ,  ,  ,33,34,05,04,55,  ,  
  ,  ,  ,  ,36,35,40,41,  ,  ,  
  ,  ,  ,  ,  ,37,42,43,  ,  ,  
