   ,   ,s33,s34,   ,   ,   ,   
   ,   ,s35,s36,   ,   ,   ,   
   ,   ,   ,   ,s29,s30,   ,   
   ,s05,s06,   ,s31,s32,   ,   
   ,s07,s08,   ,   ,   ,s25,s26
   ,   ,   ,s09,s10,   ,s27,s28
s13,s14,   ,s11,s12,   ,   ,   
s15,s16,   ,   ,   ,s01,s02,   
   ,   ,s17,s18,   ,s03,s04,   
   ,   ,s19,s20,   ,   ,   ,   
   ,   ,   ,   ,s21,s22,   ,   
   ,   ,   ,   ,s23,s24,   ,   
